CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.0112+(-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.0112+(-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.10874965786933899)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.040836475789546967)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.034929566085338593)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.03499014675617218)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.039663951843976974)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.045305937528610229)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.062595374882221222)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.084174811840057373)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.25385063886642456)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.043499864637851715)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.016334589570760727)" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.013971826992928982)" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.013996059074997902)" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.01586558111011982)" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.018122375011444092)" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.025038151070475578)" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.033669926226139069)" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.0112+((-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18))))))))-0.10154026001691818)" 
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.0112+(-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18)))))))))+0.10874965786933899" 
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.0112+(-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18)))))))))+0.040836475789546967" 
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.0112+(-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18)))))))))+0.034929566085338593" 
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.0112+(-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18)))))))))+0.03499014675617218" 
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.0112+(-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18)))))))))+0.039663951843976974" 
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.0112+(-(4.67873e-06*(log(x+19)*(log(x+18)*(3-(-(123.803*log(x+18)))))))))+0.045305937528610229" 
