CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.99322+(3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.99322+(3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.097237005829811096)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.032939266413450241)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.030167011544108391)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.029983606189489365)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.035815000534057617)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.036278359591960907)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.06225307285785675)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.090710863471031189)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.14424765110015869)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.038894802331924438)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.013175706379115582)" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.012066804803907871)" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.011993442662060261)" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.014326000586152077)" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.014511343091726303)" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.02490122988820076)" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.036284346133470535)" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.99322+((3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18))))))-0.057699061930179596)" 
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.99322+(3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18)))))))+0.097237005829811096" 
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.99322+(3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18)))))))+0.032939266413450241" 
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.99322+(3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18)))))))+0.030167011544108391" 
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.99322+(3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18)))))))+0.029983606189489365" 
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.99322+(3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18)))))))+0.035815000534057617" 
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.99322+(3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18)))))))+0.036278359591960907" 
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.99322+(3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18)))))))+0.06225307285785675" 
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.99322+(3.07549e-05*(log(x+19)*(log(x+18)*(3-(10.7438*log(x+18)))))))+0.090710863471031189" 
