CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.04582+(-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.04582+(-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.10066580772399902)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.042271405458450317)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.040811732411384583)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.034523602575063705)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.038190364837646484)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.038534484803676605)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.061320476233959198)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.08715365082025528)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.18618874251842499)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.040266323834657669)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.016908561810851097)" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.016324693337082863)" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.013809440657496452)" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.015276146121323109)" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.015413794666528702)" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.024528190493583679)" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.034861460328102112)" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.04582+((-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18)))))))-0.074475497007369995)" 
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.04582+(-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18))))))))+0.10066580772399902" 
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.04582+(-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18))))))))+0.042271405458450317" 
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.04582+(-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18))))))))+0.040811732411384583" 
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.04582+(-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18))))))))+0.034523602575063705" 
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.04582+(-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18))))))))+0.038190364837646484" 
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.04582+(-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18))))))))+0.038534484803676605" 
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(1.04582+(-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18))))))))+0.061320476233959198" 
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(1.04582+(-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18))))))))+0.08715365082025528" 
0, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(1.04582+(-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18))))))))+0.18618874251842499" 
0, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.04582+(-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18))))))))+0.040266323834657669" 
0, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.04582+(-(0.00270526*(log(x+19)*(log(x+18)*(3-(0.285088*log(x+18))))))))+0.016908561810851097" 
