# alias PD xsec nmc sumw
DYJets	DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8	6225.42	182359906	123584524
DYJets10to50_MG	DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8	18610	39521230	39489654
DYJets_MG_HT-100To200	DYJetsToLL_M-50_HT-100to200_TuneCP5_13TeV-madgraphMLM-pythia8	181.302	14185757	14163583
DYJets_MG_HT-1200To2500	DYJetsToLL_M-50_HT-1200to2500_TuneCP5_13TeV-madgraphMLM-pythia8	0.186222	625517	616923
DYJets_MG_HT-200To400	DYJetsToLL_M-50_HT-200to400_TuneCP5_13TeV-madgraphMLM-pythia8	50.4177	11337985	11306987
DYJets_MG_HT-2500ToInf	DYJetsToLL_M-50_HT-2500toInf_TuneCP5_13TeV-madgraphMLM-pythia8	0.00438495	404986	387646
DYJets_MG_HT-400To600	DYJetsToLL_M-50_HT-400to600_TuneCP5_13TeV-madgraphMLM-pythia8	6.98394	10657929	10611153
DYJets_MG_HT-600To800	DYJetsToLL_M-50_HT-600to800_TuneCP5_13TeV-madgraphMLM-pythia8	1.68141	8153358	8104916
DYJets_MG_HT-70To100	DYJetsToLL_M-50_HT-70to100_TuneCP5_13TeV-madgraphMLM-pythia8	208.977	9344037	9333543
DYJets_MG_HT-800To1200	DYJetsToLL_M-50_HT-800to1200_TuneCP5_13TeV-madgraphMLM-pythia8	0.775392	3089861	3064779
SingleTop_sch	        ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia  6.35    9883805 9883805
SingleTop_tch_top	    ST_t-channel_top_4f_inclusiveDecays_TuneCP5_13TeV-powhegV2-madspin-pythia8  136.02   5865875 5865875
SingleTop_tch_antitop	ST_t-channel_antitop_4f_inclusiveDecays_TuneCP5_13TeV-powhegV2-madspin-pythia8  80.95   3939990 3939990
SingleTop_tW_top	    ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8   35.85   7794186 7794186
SingleTop_tW_antitop    ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8   35.85   7977430 7977430 
TTG	TTGJets_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8	3.697	9402772	3646050
TTJJ_powheg	TTToHadronic_TuneCP5_13TeV-powheg-pythia8	377.96	42357944	42357944
TTLJ_powheg	TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8	365.34	111325048	110424244
TTLL_powheg	TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8	88.29	8705576	8634992
WJets_MG	WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8	61526.7	77700506	77631180
WJets_MG_HT-100To200	WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8	1627.45	35862893	35804623
WJets_MG_HT-1200To2500	WJetsToLNu_HT-1200To2500_TuneCP5_13TeV-madgraphMLM-pythia8	1.60809	20258624	19991892
WJets_MG_HT-200To400	WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8	435.237	21250517	21192211
WJets_MG_HT-2500ToInf	WJetsToLNu_HT-2500ToInf_TuneCP5_13TeV-madgraphMLM-pythia8	0.0389136	21495421	20629585
WJets_MG_HT-400To600	WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8	59.1811	14313274	14250114
WJets_MG_HT-600To800	WJetsToLNu_HT-600To800_TuneCP5_13TeV-madgraphMLM-pythia8	14.5805	21709087	21582309
WJets_MG_HT-70To100	WJetsToLNu_HT-70To100_TuneCP5_13TeV-madgraphMLM-pythia8	1637.13	22255124	22229710
WJets_MG_HT-800To1200	WJetsToLNu_HT-800To1200_TuneCP5_13TeV-madgraphMLM-pythia8	6.65621	20432728	20272990
WWW	WWW_4F_TuneCP5_13TeV-amcatnlo-pythia8	0.2086	240000	210490
WWZ	WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8	0.1651	250000	221622
WW_pythia	WW_TuneCP5_13TeV-pythia8	118.7	7791498	7791498
WZZ	WZZ_TuneCP5_13TeV-amcatnlo-pythia8	0.05565	250000	219660
WZ_pythia	WZ_TuneCP5_13TeV-pythia8	47.13	3928630	3928630
ZToEE_M_120_200	ZToEE_NNPDF31_13TeV-powheg_M_120_200	19.32	100000	98968
ZToEE_M_1400_2300	ZToEE_NNPDF31_13TeV-powheg_M_1400_2300	1.39E-3	100000	99986
ZToEE_M_200_400	ZToEE_NNPDF31_13TeV-powheg_M_200_400	2.731	100000	99572
ZToEE_M_2300_3500	ZToEE_NNPDF31_13TeV-powheg_M_2300_3500	0.8948E-4	100000	99958
ZToEE_M_3500_4500	ZToEE_NNPDF31_13TeV-powheg_M_3500_4500	0.4135E-5	100000	99820
ZToEE_M_400_800	ZToEE_NNPDF31_13TeV-powheg_M_400_800	0.241	100000	99888
ZToEE_M_4500_6000	ZToEE_NNPDF31_13TeV-powheg_M_4500_6000	4.56E-7	100000	99326
ZToEE_M_50_120	ZToEE_NNPDF31_13TeV-powheg_M_50_120	1975	2965146	2907292
ZToEE_M_6000_Inf	ZToEE_NNPDF31_13TeV-powheg_M_6000_Inf	2.06E-8	99699	97935
ZToEE_M_800_1400	ZToEE_NNPDF31_13TeV-powheg_M_800_1400	1.678E-2	100000	99974
ZToMuMu_M_120_200	ZToMuMu_NNPDF31_13TeV-powheg_M_120_200	19.32	100000	99006
ZToMuMu_M_1400_2300	ZToMuMu_NNPDF31_13TeV-powheg_M_1400_2300	1.39E-3	100000	99982
ZToMuMu_M_200_400	ZToMuMu_NNPDF31_13TeV-powheg_M_200_400	2.731	100000	99612
ZToMuMu_M_2300_3500	ZToMuMu_NNPDF31_13TeV-powheg_M_2300_3500	0.8948E-4	100000	99970
ZToMuMu_M_3500_4500	ZToMuMu_NNPDF31_13TeV-powheg_M_3500_4500	0.4135E-5	100000	99798
ZToMuMu_M_400_800	ZToMuMu_NNPDF31_13TeV-powheg_M_400_800	0.241	100000	99904
ZToMuMu_M_4500_6000	ZToMuMu_NNPDF31_13TeV-powheg_M_4500_6000	4.56E-7	100000	99302
ZToMuMu_M_50_120	ZToMuMu_NNPDF31_13TeV-powheg_M_50_120	1975	2961000	2902660
ZToMuMu_M_6000_Inf	ZToMuMu_NNPDF31_13TeV-powheg_M_6000_Inf	2.06E-8	100000	98134
ZToMuMu_M_800_1400	ZToMuMu_NNPDF31_13TeV-powheg_M_800_1400	1.678E-2	100000	99966
ZZZ	ZZZ_TuneCP5_13TeV-amcatnlo-pythia8	0.01398	250000	213514
ZZ_pythia	ZZ_TuneCP5_13TeV-pythia8	16.523	1949768	1949768
ttW	ttWJets_TuneCP5_13TeV_madgraphMLM_pythia8	0.61	9425384	9384328
ttZ	ttZJets_TuneCP5_13TeV_madgraphMLM_pythia8	0.780	9698473	9678691
ttH_bb  ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8   0.2953  8000000 8000000 
ttH_nonbb   ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8    0.2118  8000000 7669336
