# PD period NEvent
SingleElectron	B	56595110
SingleElectron	C	126584724
SingleElectron	D	50610320
SingleElectron	E	100205122
SingleElectron	F	126059593
SingleMuon	B	128742175
SingleMuon	C	153659512
SingleMuon	D	69031074
SingleMuon	E	151713898
SingleMuon	F	235942694
DoubleEG	B	54206718
DoubleEG	C	59675381
DoubleEG	D	25209987
DoubleEG	E	54624312
DoubleEG	F	72430490
DoubleMuon	B	13598353
DoubleMuon	C	46007861
DoubleMuon	D	22646081
DoubleMuon	E	50596536
DoubleMuon	F	75300854
MuonEG	B 4453465
MuonEG	C 15595214
MuonEG	D 9164365
MuonEG	E 19043421
MuonEG	F 25776363
